Application Ref. No.,GATE 2017 Reg ID,PE 1 Max Score,GATE 2018 Reg ID,Category,Other 1 Rank,GATE 2018 Rank,Payment Status,Phd area of research,final_test,No. of Papers in Conf Not published,PE 1 Percentage,PE 2 Max Score,GATE 2017 Discipline,Other 2 Roll No./ Reg ID,Other 2 Max Score,PE 2 Degree,Degree Status,Preference 3,GATE 2019 Reg ID,Other 1 Roll No./ Reg ID,Other 1 Score,Submission Date,Experience 1 Roles & Responsibility,PE 2 Board / University,PE 3 Degree,View,Gender,Permanent Address,GATE 2019 Score,GATE 2017 Score,GATE 2018 Score,Marks Obtained,test,Experience 1 To,Other 2 Test Name,PE 3 Board / University,Referee 1 Name,DOB,Status,PE 2 Percentage,PE 3 Percentage,PE 3 Max Score,Rank,PE 1 Score,Preference 2,Year of Completion,Other 2 Valid Upto,Referee 1 Phone,Total Experience,PwD?,Other 2 Discipline,Institute Assistantship,Quantitative Aptitude Percentile,No. of Papers,PE 2 Score,Department,Email,Other 2 Test Year,Parent Email Id,Programme,Referee 2 Name,Mobile,Evaluation Pattern,Mother's Name,Experience 1 Designation,PE 3 Subjects,Fee,Other 1 Max Score,Finance Details,Referee 2 Email,GATE 2019 Rank,Referee 2 Address,Qualifying Discipline,Experience 1 Total Pay,Nationality,University Name,Referee 2 Organization,PE 1 Board / University,PE 1 Subjects,PE 3 Rank,Other 1 Valid Upto,Payment Date,PE 1 Rank,Other 1 Test Name,GATE 2019 Discipline,Other 1 Test Year,PE 3 Year,Percentile,Finance Method,Aadhaar Number,Duration,Qualifying Degree,Verbal & Reading Comprehension Percentile,Maximum Marks,PE 2 Rank,GATE 2018 Discipline,University City,University Country,Alt. Email,Data Integration & Logical Reasoning Percentile,Experience 1 Organization,PE 2 Subjects,PE 2 Year,Name,No. of Book Chapters,Other 2 Score,No. of Papers in Conference,PE 1 Year,Marital Status,Father's Name,Percentage,Referee 1 Address,GATE 2017 Rank,PE 1 Degree,Referee 1 Organization,PE 3 Score,Institute Name,S.No.,Other 1 Discipline,Referee 1 Email,Evaluation Method,Preference 1,Referee 2 Phone,Experience 1 From,Other 2 Rank,Year of Admission
IITKPG2\M TECH\EE\1,,,,Economically Weaker Sections,,,Incomplete,,1.0,,,,,,,,Full Time,,x1,,,1/10/2019,,,,View,Male,"test , test - 208016",234,,,1400.0,5.0,,,,,21/12/96,Awarded,,,,,,Power Engineering,2018,,,,No,,Yes,,,,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,1,Yearly,,,,,,,,123,,test,,India,hdqzc1,,,,,,,,,Mechanical Engineering (ME),,,,,,4,Bachelors Degree,,2000.0,,,test,India,,,,,,Test  Data,,,,,,test,70,,,,,,test,112,,,Percentage,Photonics,,,,2014
IITKPG2\M TECH\EE\2,,500.0,,GENERAL,,,Complete,,2.0,,87.4,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,RF and Microwave,x2,,,3/10/2019,,CBSE,,View,Male,def1,234,,,8.08,5.0,,,,,4/8/1994,Awarded,82.0,,,,437.0,Photonics,2018,,,,No,,Yes,,,410.0,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,2,Semester,abcde1,,,400.0,,,,123,,ELECTRICAL AND LECTRONICS ENGINEERING,,India,hdqzc2,,CBSE,PCM ENG SS,,,,,,,,,,,12568.0,4,Bachelors Degree,,10.0,,,Chennai,India,,,,PCM,2014.0,abc,,,,2012.0,,yz,N.A.,,,Secondary or equivalent,,,nhfc1,122,,,CGPA,Power Engineering,,,,2014
IITKPG2\M TECH\EE\3,,10.0,,GENERAL,,,Complete,,3.0,,100.0,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,Power Engineering,x3,,,5/10/2019,DEVELOPING IP CORES FOR RADAR SIGNAL PROCESSING,CBSE,,View,Male,def2,234,,,8.265,5.0,Till Now,,,,10/6/1995,Awarded,92.4,,,20,10.0,Photonics,2019,,,,No,,Yes,,,462.0,EE,1223@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,3,Semester,abcde2,RTL  DESIGN ENGINEER,,400.0,,,,123,,ENGINEERING,26617,India,hdqzc3,,CBSE,"PHYSICS, CHEMISTRY, MATHEMATICS, TAMIL, ENGLISH",,,,,,Electronics and Communication Engineering (EC),,,99.12,,5897.0,4,Bachelors Degree,,10.0,,,THANJAVUR,India,,,COREEL TECHNOLOGIES PVT LTD,"PHYSICS, CHEMISTRY, MATHEMATICS, COMPUTER SCIENCE, ENGLISH",2015.0,def,,,,2013.0,,yz1,N.A.,,,Secondary or equivalent,,,nhfc2,1223,,,CGPA,RF and Microwave,,19-Jul,,2015
IITKPG2\M TECH\EE\4,,,,SC,,,Incomplete,,,,,,,,,,Full Time,,x4,,,3/10/2019,Teaching and faculty Incharge,,,View,Male,def3,234,,,3076.0,,Till Now,,,,18/10/95,Awarded,,,,,,Power Engineering,2012,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,4,Yearly,abcde3,Lecturer(NEET AND JEE),,,,,,123,,Electronics and Communication Engineering (EC),53000,India,hdqzc4,,,,,,,,,,,,,,56812.0,4,BE/BTech - Bachelor of Engineering/Technology,,5000.0,,,Kanpur,India,,,SSRVM OSMANABAD MAHARASHTRA,,,ghi,,,,,,yz2,61.52,,,,,,nhfc3,1224,,,Percentage,Photonics,,13-Apr,,2008
IITKPG2\M TECH\EE\5,,,,OBC-NCL,,,Complete,,3.0,,,,,,,,Full Time,,x5,,,3/10/2019,,,,View,Male,def4,234,,,7.94,,,,,,5/12/1996,Awarded,,,,,,RF and Microwave,2018,,,,No,,Yes,,,,EE,12213@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,5,Semester,abcde4,,,400.0,,,,123,,Electrical,,India,hdqzc5,,,,,,,,,Electrical Engineering (EE),,,81.12,,,4,Bachelors Degree,,10.0,,,Lonere,India,,,,,,jkl,,,,,,yz3,N.A.,,,,,,nhfc4,1322,,,CGPA,Photonics,,,,2014
IITKPG2\M TECH\EE\6,,500.0,,GENERAL,,,Complete,,4.0,,91.4,8900.0,,,,BE/BTech - Bachelor of Engineering/Technology,Full Time,Photonics,x6,,,4/10/2019,,guru gobind singh indrapratha university,,View,Female,def5,234,,,7747.0,,,,,,26/02/97,Awarded,87.04,,,,457.0,Power Engineering,2018,,,,No,,Yes,,,7747.0,EE,45226@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,6,Semester,abcde5,,,400.0,,,,123,,electrical and electronics,,India,hdqzc6,,CBSE,science,,,,,,Electrical Engineering (EE),,,96.98,,,4,BE/BTech - Bachelor of Engineering/Technology,,8900.0,,,delhi,India,,,,electrical and electronics,2018.0,mno,,,,2014.0,,yz4,87.04,,,Higher Secondary (10+2) or equivalent,,,nhfc5,122,,,Percentage,RF and Microwave,,,,2014
IITKPG2\M TECH\EE\7,,500.0,,GENERAL,,,Complete,,,,93.0,500.0,,,,Secondary or equivalent,Full Time,RF and Microwave,x7,,,4/10/2019,,CBSE,,View,Female,def6,234,,,7.76,,,,,,28/02/96,Awarded,95.0,,,,465.0,Photonics,2018,,,,No,,Yes,,,475.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,7,Semester,abcde6,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc7,,CBSE,PCMB,,,,,,Electrical Engineering (EE),,,96.8,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,INDORE,India,,,,SCIENCE,2012.0,pqr,,,,2014.0,,yz5,N.A.,,,Higher Secondary (10+2) or equivalent,,,nhfc6,7,,,CGPA,Power Engineering,,,,2014
IITKPG2\M TECH\EE\8,,700.0,,GENERAL,,,Complete,,,,85.71,500.0,,,,Higher Secondary (10+2) or equivalent,Full Time,,x8,,,4/10/2019,,West Bengal Council of Higher Secondary Education,BE/BTech - Bachelor of Engineering/Technology,View,Male,def7,234,,,8.06,7.0,,,"West Bengal University of Technology, Kolkata",,19/02/92,Awarded,82.4,80.0,10.0,,600.0,,2019,,,,No,,Yes,,,412.0,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,8,Semester,abcde7,,Electrical Engineering,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc8,,West Bengal Board of Secondary Education,"Bengali, English, History, Geography, Physical Science, Life Science, Mathematics",,,,,,Electrical Engineering (EE),,2019.0,45.0,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,Adisaptagram,India,,,,"Bengali, English, Physics, Chemistry, Mathematics, Biology",2015.0,stu,,,,2013.0,,yz6,N.A.,,,Secondary or equivalent,,8.06,nhfc7,8,,,CGPA,Power Engineering,,,,2015
IITKPG2\M TECH\EE\9,,500.0,,GENERAL,,,Complete,,45.0,,73.2,5000.0,,,,BE/BTech - Bachelor of Engineering/Technology,Full Time,Photonics,x9,,,31/10/19,,AKTU LUCKNOW,,View,Male,def8,234,,,4083.0,,,,,,29/12/93,Awarded,81.66,,,,366.0,RF and Microwave,2018,,,,No,,Yes,,,4083.0,EE,123@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,9,Semester,abcde8,,,400.0,,,,123,,Electrical Engineering (EE),,India,hdqzc9,,CBSE,"PHYSICS ,CHEMISTRY,MATHEMATICS,ENGLISH,HINDI",,,,,,Electrical Engineering (EE),,,56.0,,478563.0,4,BE/BTech - Bachelor of Engineering/Technology,,5000.0,,,MATHURA,India,,,,ELECTRICAL ENGINEERING,2018.0,vwx,,,,2013.0,,yz7,81.66,,,Higher Secondary (10+2) or equivalent,,,nhfc8,9,,,Percentage,Power Engineering,,,,2014
IITKPG2\M TECH\EE\10,,500.0,,OBC-NCL,,,Complete,,,,85.2,,,,,,Full Time,,x10,,,16/10/19,Learn the Basics of Banking and Mainframe Technologies and assist the Support team,,,View,Male,def9,234,,,8.515,7.0,16-Aug,,,,19/02/92,Awarded,,,,,426.0,,2015,,,,No,,Yes,,,,EE,456@newmail.com,,,MASTER OF TECHNOLOGY (M. Tech),,10,Semester,abcde9,Project Engineer,,400.0,,,,123,,Electrical & Electronics,21635,India,hdqzc10,,UP Board,Physics Chemistry Math Hindi English,,,,,,Electrical Engineering (EE),,,98.9,,,4,BE/BTech - Bachelor of Engineering/Technology,,10.0,,,Chennai,India,,,"Wipro Limited, Chennai",,,yz,,,,2010.0,,yz8,N.A.,,,Higher Secondary (10+2) or equivalent,,,nhfc9,10,,,CGPA,Power Engineering,,15-Aug,,2011
