Application Ref. No.,PE 1 Score,PE 2 Rank,PE 2 Year,Marital Status,GATE 2017 Score,Other 2 Rank,Experience 1 Designation,Referee 1 Organization,GATE 2018 Reg ID,Other 1 Test Year,Experience 1 Organization,Data Integration & Logical Reasoning Percentile,Other 1 Discipline,final_test,Referee 2 Address,DOB,Experience 1 From,Institute Assistantship,Referee 1 Email,Payment Status,GATE 2018 Discipline,University Country,Other 2 Test Name,No. of Papers in Conference,PE 3 Degree,Evaluation Pattern,GATE 2017 Reg ID,Other 2 Max Score,Submission Date,PE 2 Score,Finance Method,Mobile,S.No.,PE 2 Subjects,Referee 1 Phone,GATE 2018 Rank,PE 1 Degree,Referee 2 Phone,PE 1 Board / University,Alt. Email,No. of Papers,Quantitative Aptitude Percentile,PE 3 Score,No. of Papers in Conf Not published,PE 3 Max Score,GATE 2018 Score,Referee 1 Name,Institute Name,Referee 1 Address,Total Experience,PE 1 Max Score,PE 1 Year,Programme,Phd area of research,Gender,University City,PE 2 Percentage,Marks Obtained,Preference 3,GATE 2019 Rank,Other 1 Test Name,Referee 2 Organization,No. of Book Chapters,Mother's Name,Preference 1,PE 3 Percentage,Other 1 Rank,Experience 1 Total Pay,Other 1 Score,Other 2 Score,University Name,View,Preference 2,Other 2 Roll No./ Reg ID,Other 1 Valid Upto,Nationality,PE 3 Rank,Other 2 Valid Upto,Rank,PE 2 Degree,PE 1 Subjects,GATE 2017 Discipline,Year of Admission,Status,Experience 1 To,Other 2 Test Year,Qualifying Degree,PE 1 Percentage,Qualifying Discipline,Referee 2 Email,GATE 2019 Discipline,Verbal & Reading Comprehension Percentile,Other 1 Roll No./ Reg ID,Duration,PE 3 Subjects,PE 3 Board / University,Referee 2 Name,PE 2 Max Score,GATE 2019 Score,Father's Name,Experience 1 Roles & Responsibility,Email,Fee,Other 2 Discipline,GATE 2019 Reg ID,Evaluation Method,Payment Date,Percentile,PwD?,PE 1 Rank,Other 1 Max Score,Maximum Marks,Name,Category,Permanent Address,PE 2 Board / University,Aadhaar Number,test,Year of Completion,Finance Details,Degree Status,Parent Email Id,Percentage,PE 3 Year,GATE 2017 Rank,Department
IITKPG2\M TECH\EE\1,,,,,,,,,,,,,,1.0,,21/12/96,,Yes,,Incomplete,,India,,,,Yearly,,,1/10/2019,,,1,112,,,,,,,,,,,,,,,test,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,test,,1400.0,,123,,,,,Photonics,,,,,,hdqzc1,View,Power Engineering,,,India,,,,,,,2014,Awarded,,,Bachelors Degree,,test,,Mechanical Engineering (ME),,,4,,,,,234,test,,123@newmail.com,,,x1,Percentage,,,No,,,2000.0,Test  Data,Economically Weaker Sections,"test , test - 208016",,,5.0,2018,,Full Time,,70,,,EE
IITKPG2\M TECH\EE\2,437.0,,2014.0,,,,,,,,,,,2.0,,4/8/1994,,Yes,,Complete,,India,,,,Semester,,,3/10/2019,410.0,,2,122,PCM,,,Secondary or equivalent,,CBSE,,,,,,,,,nhfc1,,,500.0,2012.0,MASTER OF TECHNOLOGY (M. Tech),,Male,Chennai,82.0,8.08,RF and Microwave,123,,,,abcde1,Power Engineering,,,,,,hdqzc2,View,Photonics,,,India,,,,Higher Secondary (10+2) or equivalent,PCM ENG SS,,2014,Awarded,,,Bachelors Degree,87.4,ELECTRICAL AND LECTRONICS ENGINEERING,,,,,4,,,,500.0,234,yz,,456@newmail.com,400.0,,x2,CGPA,,,No,,,10.0,abc,GENERAL,def1,CBSE,12568.0,5.0,2018,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\3,10.0,,2015.0,,,,RTL  DESIGN ENGINEER,,,,COREEL TECHNOLOGIES PVT LTD,,,3.0,,10/6/1995,19-Jul,Yes,,Complete,,India,,,,Semester,,,5/10/2019,462.0,,3,1223,"PHYSICS, CHEMISTRY, MATHEMATICS, COMPUTER SCIENCE, ENGLISH",,,Secondary or equivalent,,CBSE,,,,,,,,,nhfc2,,,10.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,THANJAVUR,92.4,8.265,Power Engineering,123,,,,abcde2,RF and Microwave,,,26617,,,hdqzc3,View,Photonics,,,India,,,20,Higher Secondary (10+2) or equivalent,"PHYSICS, CHEMISTRY, MATHEMATICS, TAMIL, ENGLISH",,2015,Awarded,Till Now,,Bachelors Degree,100.0,ENGINEERING,,Electronics and Communication Engineering (EC),,,4,,,,500.0,234,yz1,DEVELOPING IP CORES FOR RADAR SIGNAL PROCESSING,1223@newmail.com,400.0,,x3,CGPA,,99.12,No,,,10.0,def,GENERAL,def2,CBSE,5897.0,5.0,2019,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\4,,,,,,,Lecturer(NEET AND JEE),,,,SSRVM OSMANABAD MAHARASHTRA,,,,,18/10/95,13-Apr,Yes,,Incomplete,,India,,,,Yearly,,,3/10/2019,,,4,1224,,,,,,,,,,,,,,,nhfc3,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,Kanpur,,3076.0,,123,,,,abcde3,Photonics,,,53000,,,hdqzc4,View,Power Engineering,,,India,,,,,,,2008,Awarded,Till Now,,BE/BTech - Bachelor of Engineering/Technology,,Electronics and Communication Engineering (EC),,,,,4,,,,,234,yz2,Teaching and faculty Incharge,456@newmail.com,,,x4,Percentage,,,No,,,5000.0,ghi,SC,def3,,56812.0,,2012,,Full Time,,61.52,,,EE
IITKPG2\M TECH\EE\5,,,,,,,,,,,,,,3.0,,5/12/1996,,Yes,,Complete,,India,,,,Semester,,,3/10/2019,,,5,1322,,,,,,,,,,,,,,,nhfc4,,,,,MASTER OF TECHNOLOGY (M. Tech),,Male,Lonere,,7.94,,123,,,,abcde4,Photonics,,,,,,hdqzc5,View,RF and Microwave,,,India,,,,,,,2014,Awarded,,,Bachelors Degree,,Electrical,,Electrical Engineering (EE),,,4,,,,,234,yz3,,12213@newmail.com,400.0,,x5,CGPA,,81.12,No,,,10.0,jkl,OBC-NCL,def4,,,,2018,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\6,457.0,,2018.0,,,,,,,,,,,4.0,,26/02/97,,Yes,,Complete,,India,,,,Semester,,,4/10/2019,7747.0,,6,122,electrical and electronics,,,Higher Secondary (10+2) or equivalent,,CBSE,,,,,,,,,nhfc5,,,500.0,2014.0,MASTER OF TECHNOLOGY (M. Tech),,Female,delhi,87.04,7747.0,Photonics,123,,,,abcde5,RF and Microwave,,,,,,hdqzc6,View,Power Engineering,,,India,,,,BE/BTech - Bachelor of Engineering/Technology,science,,2014,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,91.4,electrical and electronics,,Electrical Engineering (EE),,,4,,,,8900.0,234,yz4,,45226@newmail.com,400.0,,x6,Percentage,,96.98,No,,,8900.0,mno,GENERAL,def5,guru gobind singh indrapratha university,,,2018,,Full Time,,87.04,,,EE
IITKPG2\M TECH\EE\7,465.0,,2012.0,,,,,,,,,,,,,28/02/96,,Yes,,Complete,,India,,,,Semester,,,4/10/2019,475.0,,7,7,SCIENCE,,,Higher Secondary (10+2) or equivalent,,CBSE,,,,,,,,,nhfc6,,,500.0,2014.0,MASTER OF TECHNOLOGY (M. Tech),,Female,INDORE,95.0,7.76,RF and Microwave,123,,,,abcde6,Power Engineering,,,,,,hdqzc7,View,Photonics,,,India,,,,Secondary or equivalent,PCMB,,2014,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,93.0,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,500.0,234,yz5,,123@newmail.com,400.0,,x7,CGPA,,96.8,No,,,10.0,pqr,GENERAL,def6,CBSE,,,2018,,Full Time,,N.A.,,,EE
IITKPG2\M TECH\EE\8,600.0,,2015.0,,,,,,,,,,,,,19/02/92,,Yes,,Complete,,India,,,BE/BTech - Bachelor of Engineering/Technology,Semester,,,4/10/2019,412.0,,8,8,"Bengali, English, Physics, Chemistry, Mathematics, Biology",,,Secondary or equivalent,,West Bengal Board of Secondary Education,,,,8.06,,10.0,,,nhfc7,,,700.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,Adisaptagram,82.4,8.06,,123,,,,abcde7,Power Engineering,80.0,,,,,hdqzc8,View,,,,India,,,,Higher Secondary (10+2) or equivalent,"Bengali, English, History, Geography, Physical Science, Life Science, Mathematics",,2015,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,85.71,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,Electrical Engineering,"West Bengal University of Technology, Kolkata",,500.0,234,yz6,,456@newmail.com,400.0,,x8,CGPA,,45.0,No,,,10.0,stu,GENERAL,def7,West Bengal Council of Higher Secondary Education,,7.0,2019,,Full Time,,N.A.,2019.0,,EE
IITKPG2\M TECH\EE\9,366.0,,2018.0,,,,,,,,,,,45.0,,29/12/93,,Yes,,Complete,,India,,,,Semester,,,31/10/19,4083.0,,9,9,ELECTRICAL ENGINEERING,,,Higher Secondary (10+2) or equivalent,,CBSE,,,,,,,,,nhfc8,,,500.0,2013.0,MASTER OF TECHNOLOGY (M. Tech),,Male,MATHURA,81.66,4083.0,Photonics,123,,,,abcde8,Power Engineering,,,,,,hdqzc9,View,RF and Microwave,,,India,,,,BE/BTech - Bachelor of Engineering/Technology,"PHYSICS ,CHEMISTRY,MATHEMATICS,ENGLISH,HINDI",,2014,Awarded,,,BE/BTech - Bachelor of Engineering/Technology,73.2,Electrical Engineering (EE),,Electrical Engineering (EE),,,4,,,,5000.0,234,yz7,,123@newmail.com,400.0,,x9,Percentage,,56.0,No,,,5000.0,vwx,GENERAL,def8,AKTU LUCKNOW,478563.0,,2018,,Full Time,,81.66,,,EE
IITKPG2\M TECH\EE\10,426.0,,,,,,Project Engineer,,,,"Wipro Limited, Chennai",,,,,19/02/92,15-Aug,Yes,,Complete,,India,,,,Semester,,,16/10/19,,,10,10,,,,Higher Secondary (10+2) or equivalent,,UP Board,,,,,,,,,nhfc9,,,500.0,2010.0,MASTER OF TECHNOLOGY (M. Tech),,Male,Chennai,,8.515,,123,,,,abcde9,Power Engineering,,,21635,,,hdqzc10,View,,,,India,,,,,Physics Chemistry Math Hindi English,,2011,Awarded,16-Aug,,BE/BTech - Bachelor of Engineering/Technology,85.2,Electrical & Electronics,,Electrical Engineering (EE),,,4,,,,,234,yz8,Learn the Basics of Banking and Mainframe Technologies and assist the Support team,456@newmail.com,400.0,,x10,CGPA,,98.9,No,,,10.0,yz,OBC-NCL,def9,,,7.0,2015,,Full Time,,N.A.,,,EE
