Application Ref. No.,Submission Date,Mobile,Other 1 Max Score,Marks Obtained,PE 2 Percentage,PE 3 Degree,PE 2 Rank,Other 2 Valid Upto,Rank,Preference 3,PE 1 Board / University,PE 1 Year,Status,Other 1 Discipline,PE 2 Subjects,Other 1 Score,Data Integration & Logical Reasoning Percentile,PE 3 Score,Maximum Marks,PE 2 Board / University,Other 2 Max Score,Referee 1 Organization,Phd area of research,Referee 1 Name,PE 3 Rank,GATE 2017 Score,Parent Email Id,GATE 2017 Rank,Experience 1 From,Institute Assistantship,Referee 2 Name,Other 1 Valid Upto,Finance Method,GATE 2019 Discipline,Year of Admission,Programme,No. of Book Chapters,GATE 2019 Reg ID,PE 2 Max Score,Qualifying Discipline,Name,Department,No. of Papers in Conf Not published,Father's Name,PE 3 Max Score,Experience 1 Organization,Referee 2 Phone,test,PE 1 Score,GATE 2018 Discipline,Other 2 Test Name,Other 2 Score,Aadhaar Number,View,Other 2 Discipline,Permanent Address,Finance Details,Experience 1 To,Mother's Name,PE 3 Board / University,GATE 2018 Score,Evaluation Pattern,PE 2 Score,PE 1 Subjects,PE 2 Year,GATE 2018 Rank,GATE 2019 Rank,Other 1 Test Year,Referee 2 Email,PE 3 Year,Percentile,Experience 1 Roles & Responsibility,GATE 2019 Score,GATE 2018 Reg ID,Marital Status,PwD?,Quantitative Aptitude Percentile,Other 2 Rank,GATE 2017 Reg ID,Duration,PE 3 Subjects,PE 3 Percentage,No. of Papers in Conference,Other 2 Roll No./ Reg ID,Nationality,University Name,PE 1 Percentage,Referee 2 Address,University City,PE 1 Degree,Evaluation Method,Degree Status,Qualifying Degree,Referee 1 Email,PE 1 Rank,Experience 1 Total Pay,Referee 1 Phone,Other 1 Test Name,Other 2 Test Year,Total Experience,Payment Status,Preference 2,Fee,Category,Alt. Email,Other 1 Roll No./ Reg ID,University Country,PE 1 Max Score,Other 1 Rank,Referee 1 Address,DOB,S.No.,Experience 1 Designation,Preference 1,GATE 2017 Discipline,PE 2 Degree,Payment Date,Institute Name,Verbal & Reading Comprehension Percentile,No. of Papers,final_test,Referee 2 Organization,Percentage,Email,Year of Completion,Gender
IITKPG2\M TECH\EE\1,1/10/2019,1,,1400.0,,,,,,,,,Awarded,,,,,,2000.0,,,,,,,,,,,Yes,,,,Mechanical Engineering (ME),2014,MASTER OF TECHNOLOGY (M. Tech),,x1,,test,Test  Data,EE,,test,,,,5.0,,,,,,View,,"test , test - 208016",,,,,,Yearly,,,,,123,,,,,,234,,,No,,,,4,,,,,India,hdqzc1,,,test,,Percentage,Full Time,Bachelors Degree,,,,,,,,Incomplete,Power Engineering,,Economically Weaker Sections,,,India,,,,21/12/96,112,,Photonics,,,,test,,,1.0,,70,123@newmail.com,2018,Male
IITKPG2\M TECH\EE\2,3/10/2019,2,,8.08,82.0,,,,,RF and Microwave,CBSE,2012.0,Awarded,,PCM,,,,10.0,CBSE,,,,,,,,,,Yes,,,,,2014,MASTER OF TECHNOLOGY (M. Tech),,x2,500.0,ELECTRICAL AND LECTRONICS ENGINEERING,abc,EE,,yz,,,,5.0,437.0,,,,12568.0,View,,def1,,,abcde1,,,Semester,410.0,PCM ENG SS,2014.0,,123,,,,,,234,,,No,,,,4,,,,,India,hdqzc2,87.4,,Chennai,Secondary or equivalent,CGPA,Full Time,Bachelors Degree,,,,,,,,Complete,Photonics,400.0,GENERAL,,,India,500.0,,,4/8/1994,122,,Power Engineering,,Higher Secondary (10+2) or equivalent,,nhfc1,,,2.0,,N.A.,456@newmail.com,2018,Male
IITKPG2\M TECH\EE\3,5/10/2019,3,,8.265,92.4,,,,20,Power Engineering,CBSE,2013.0,Awarded,,"PHYSICS, CHEMISTRY, MATHEMATICS, COMPUTER SCIENCE, ENGLISH",,,,10.0,CBSE,,,,,,,,,19-Jul,Yes,,,,Electronics and Communication Engineering (EC),2015,MASTER OF TECHNOLOGY (M. Tech),,x3,500.0,ENGINEERING,def,EE,,yz1,,COREEL TECHNOLOGIES PVT LTD,,5.0,10.0,,,,5897.0,View,,def2,,Till Now,abcde2,,,Semester,462.0,"PHYSICS, CHEMISTRY, MATHEMATICS, TAMIL, ENGLISH",2015.0,,123,,,,99.12,DEVELOPING IP CORES FOR RADAR SIGNAL PROCESSING,234,,,No,,,,4,,,,,India,hdqzc3,100.0,,THANJAVUR,Secondary or equivalent,CGPA,Full Time,Bachelors Degree,,,26617,,,,,Complete,Photonics,400.0,GENERAL,,,India,10.0,,,10/6/1995,1223,RTL  DESIGN ENGINEER,RF and Microwave,,Higher Secondary (10+2) or equivalent,,nhfc2,,,3.0,,N.A.,1223@newmail.com,2019,Male
IITKPG2\M TECH\EE\4,3/10/2019,4,,3076.0,,,,,,,,,Awarded,,,,,,5000.0,,,,,,,,,,13-Apr,Yes,,,,,2008,MASTER OF TECHNOLOGY (M. Tech),,x4,,Electronics and Communication Engineering (EC),ghi,EE,,yz2,,SSRVM OSMANABAD MAHARASHTRA,,,,,,,56812.0,View,,def3,,Till Now,abcde3,,,Yearly,,,,,123,,,,,Teaching and faculty Incharge,234,,,No,,,,4,,,,,India,hdqzc4,,,Kanpur,,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,53000,,,,,Incomplete,Power Engineering,,SC,,,India,,,,18/10/95,1224,Lecturer(NEET AND JEE),Photonics,,,,nhfc3,,,,,61.52,456@newmail.com,2012,Male
IITKPG2\M TECH\EE\5,3/10/2019,5,,7.94,,,,,,,,,Awarded,,,,,,10.0,,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2014,MASTER OF TECHNOLOGY (M. Tech),,x5,,Electrical,jkl,EE,,yz3,,,,,,,,,,View,,def4,,,abcde4,,,Semester,,,,,123,,,,81.12,,234,,,No,,,,4,,,,,India,hdqzc5,,,Lonere,,CGPA,Full Time,Bachelors Degree,,,,,,,,Complete,RF and Microwave,400.0,OBC-NCL,,,India,,,,5/12/1996,1322,,Photonics,,,,nhfc4,,,3.0,,N.A.,12213@newmail.com,2018,Male
IITKPG2\M TECH\EE\6,4/10/2019,6,,7747.0,87.04,,,,,Photonics,CBSE,2014.0,Awarded,,electrical and electronics,,,,8900.0,guru gobind singh indrapratha university,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2014,MASTER OF TECHNOLOGY (M. Tech),,x6,8900.0,electrical and electronics,mno,EE,,yz4,,,,,457.0,,,,,View,,def5,,,abcde5,,,Semester,7747.0,science,2018.0,,123,,,,96.98,,234,,,No,,,,4,,,,,India,hdqzc6,91.4,,delhi,Higher Secondary (10+2) or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,Power Engineering,400.0,GENERAL,,,India,500.0,,,26/02/97,122,,RF and Microwave,,BE/BTech - Bachelor of Engineering/Technology,,nhfc5,,,4.0,,87.04,45226@newmail.com,2018,Female
IITKPG2\M TECH\EE\7,4/10/2019,7,,7.76,95.0,,,,,RF and Microwave,CBSE,2014.0,Awarded,,SCIENCE,,,,10.0,CBSE,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2014,MASTER OF TECHNOLOGY (M. Tech),,x7,500.0,Electrical Engineering (EE),pqr,EE,,yz5,,,,,465.0,,,,,View,,def6,,,abcde6,,,Semester,475.0,PCMB,2012.0,,123,,,,96.8,,234,,,No,,,,4,,,,,India,hdqzc7,93.0,,INDORE,Higher Secondary (10+2) or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,Photonics,400.0,GENERAL,,,India,500.0,,,28/02/96,7,,Power Engineering,,Secondary or equivalent,,nhfc6,,,,,N.A.,123@newmail.com,2018,Female
IITKPG2\M TECH\EE\8,4/10/2019,8,,8.06,82.4,BE/BTech - Bachelor of Engineering/Technology,,,,,West Bengal Board of Secondary Education,2013.0,Awarded,,"Bengali, English, Physics, Chemistry, Mathematics, Biology",,,8.06,10.0,West Bengal Council of Higher Secondary Education,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2015,MASTER OF TECHNOLOGY (M. Tech),,x8,500.0,Electrical Engineering (EE),stu,EE,,yz6,10.0,,,7.0,600.0,,,,,View,,def7,,,abcde7,"West Bengal University of Technology, Kolkata",,Semester,412.0,"Bengali, English, History, Geography, Physical Science, Life Science, Mathematics",2015.0,,123,,,2019.0,45.0,,234,,,No,,,,4,Electrical Engineering,80.0,,,India,hdqzc8,85.71,,Adisaptagram,Secondary or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,,400.0,GENERAL,,,India,700.0,,,19/02/92,8,,Power Engineering,,Higher Secondary (10+2) or equivalent,,nhfc7,,,,,N.A.,456@newmail.com,2019,Male
IITKPG2\M TECH\EE\9,31/10/19,9,,4083.0,81.66,,,,,Photonics,CBSE,2013.0,Awarded,,ELECTRICAL ENGINEERING,,,,5000.0,AKTU LUCKNOW,,,,,,,,,,Yes,,,,Electrical Engineering (EE),2014,MASTER OF TECHNOLOGY (M. Tech),,x9,5000.0,Electrical Engineering (EE),vwx,EE,,yz7,,,,,366.0,,,,478563.0,View,,def8,,,abcde8,,,Semester,4083.0,"PHYSICS ,CHEMISTRY,MATHEMATICS,ENGLISH,HINDI",2018.0,,123,,,,56.0,,234,,,No,,,,4,,,,,India,hdqzc9,73.2,,MATHURA,Higher Secondary (10+2) or equivalent,Percentage,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,,,,,,Complete,RF and Microwave,400.0,GENERAL,,,India,500.0,,,29/12/93,9,,Power Engineering,,BE/BTech - Bachelor of Engineering/Technology,,nhfc8,,,45.0,,81.66,123@newmail.com,2018,Male
IITKPG2\M TECH\EE\10,16/10/19,10,,8.515,,,,,,,UP Board,2010.0,Awarded,,,,,,10.0,,,,,,,,,,15-Aug,Yes,,,,Electrical Engineering (EE),2011,MASTER OF TECHNOLOGY (M. Tech),,x10,,Electrical & Electronics,yz,EE,,yz8,,"Wipro Limited, Chennai",,7.0,426.0,,,,,View,,def9,,16-Aug,abcde9,,,Semester,,Physics Chemistry Math Hindi English,,,123,,,,98.9,Learn the Basics of Banking and Mainframe Technologies and assist the Support team,234,,,No,,,,4,,,,,India,hdqzc10,85.2,,Chennai,Higher Secondary (10+2) or equivalent,CGPA,Full Time,BE/BTech - Bachelor of Engineering/Technology,,,21635,,,,,Complete,,400.0,OBC-NCL,,,India,500.0,,,19/02/92,10,Project Engineer,Power Engineering,,,,nhfc9,,,,,N.A.,456@newmail.com,2015,Male
