S.No.,View,Application Ref. No.,Submission Date,Payment Status,Fee,Payment Date,Name,Gender,DOB,Nationality,Category,PwD?,Marital Status,Email,Alt. Email,Mobile,Father's Name,Mother's Name,Parent Email Id,Aadhaar Number,Permanent Address,Degree Status,Programme,Department,Preference 1,Preference 2,Preference 3,Phd area of research,Institute Assistantship,Finance Method,Finance Details,GATE 2019 Reg ID,GATE 2019 Discipline,GATE 2019 Score,GATE 2019 Rank,GATE 2018 Reg ID,GATE 2018 Discipline,GATE 2018 Score,GATE 2018 Rank,GATE 2017 Reg ID,GATE 2017 Discipline,GATE 2017 Score,GATE 2017 Rank,Other 1 Roll No./ Reg ID,Other 1 Score,Other 1 Max Score,Other 1 Valid Upto,Other 1 Test Name,Other 1 Test Year,Other 1 Discipline,Other 1 Rank,Percentile,Quantitative Aptitude Percentile,Data Integration & Logical Reasoning Percentile,Verbal & Reading Comprehension Percentile,Other 2 Roll No./ Reg ID,Other 2 Score,Other 2 Max Score,Other 2 Valid Upto,Other 2 Test Name,Other 2 Test Year,Other 2 Discipline,Other 2 Rank,Qualifying Degree,Qualifying Discipline,University Name,University City,University Country,Institute Name,Year of Admission,Year of Completion,Duration,Status,Rank,Evaluation Pattern,Evaluation Method,Marks Obtained,Maximum Marks,Percentage,Total Experience,Experience 1 Organization,Experience 1 Designation,Experience 1 From,Experience 1 To,Experience 1 Roles & Responsibility,Experience 1 Total Pay,No. of Papers,No. of Papers in Conference,No. of Papers in Conf Not published,No. of Book Chapters,Referee 1 Name,Referee 1 Organization,Referee 1 Email,Referee 1 Phone,Referee 1 Address,Referee 2 Name,Referee 2 Organization,Referee 2 Email,Referee 2 Phone,Referee 2 Address,PE 1 Degree,PE 1 Year,PE 1 Board / University,PE 1 Subjects,PE 1 Score,PE 1 Max Score,PE 1 Percentage,PE 1 Rank,PE 2 Degree,PE 2 Year,PE 2 Board / University,PE 2 Subjects,PE 2 Score,PE 2 Max Score,PE 2 Percentage,PE 2 Rank,PE 3 Degree,PE 3 Year,PE 3 Board / University,PE 3 Subjects,PE 3 Score,PE 3 Max Score,PE 3 Percentage,PE 3 Rank,test,final_test
112,View,IITKPG2\M TECH\EE\1,1/10/2019,Incomplete,,N/A,Test  Data,Male,21/12/96,India,Economically Weaker Sections,No,,123@newmail.com,,1,test,,,,"test , test - 208016",Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Photonics,Power Engineering,,,Yes,,,x1,Mechanical Engineering (ME),234,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors Degree,test,hdqzc1,test,India,test,2014,2018,4,Awarded,,Yearly,Percentage,1400,2000,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1
122,View,IITKPG2\M TECH\EE\2,3/10/2019,Complete,400,N/A,abc,Male,4/8/1994,India,GENERAL,No,,456@newmail.com,,2,yz,abcde1,,12568,def1,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,Photonics,RF and Microwave,,Yes,,,x2,,234,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors Degree,ELECTRICAL AND LECTRONICS ENGINEERING,hdqzc2,Chennai,India,nhfc1,2014,2018,4,Awarded,,Semester,CGPA,8.08,10,N.A.,,,,,,,,,,,,,,,,,,,,,,Secondary or equivalent,2012,CBSE,PCM ENG SS,437,500,87.4,,Higher Secondary (10+2) or equivalent,2014,CBSE,PCM,410,500,82,,,,,,,,,,5,2
1223,View,IITKPG2\M TECH\EE\3,5/10/2019,Complete,400,N/A,def,Male,10/6/1995,India,GENERAL,No,,1223@newmail.com,,3,yz1,abcde2,,5897,def2,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,RF and Microwave,Photonics,Power Engineering,,Yes,,,x3,Electronics and Communication Engineering (EC),234,123,,,,,,,,,,,,,,,,,99.12,,,,,,,,,,,,Bachelors Degree,ENGINEERING,hdqzc3,THANJAVUR,India,nhfc2,2015,2019,4,Awarded,20,Semester,CGPA,8.265,10,N.A.,,COREEL TECHNOLOGIES PVT LTD,RTL  DESIGN ENGINEER,19-Jul,Till Now,DEVELOPING IP CORES FOR RADAR SIGNAL PROCESSING,26617,,,,,,,,,,,,,,,Secondary or equivalent,2013,CBSE,"PHYSICS, CHEMISTRY, MATHEMATICS, TAMIL, ENGLISH",10,10,100,,Higher Secondary (10+2) or equivalent,2015,CBSE,"PHYSICS, CHEMISTRY, MATHEMATICS, COMPUTER SCIENCE, ENGLISH",462,500,92.4,,,,,,,,,,5,3
1224,View,IITKPG2\M TECH\EE\4,3/10/2019,Incomplete,,N/A,ghi,Male,18/10/95,India,SC,No,,456@newmail.com,,4,yz2,abcde3,,56812,def3,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Photonics,Power Engineering,,,Yes,,,x4,,234,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electronics and Communication Engineering (EC),hdqzc4,Kanpur,India,nhfc3,2008,2012,4,Awarded,,Yearly,Percentage,3076,5000,61.52,,SSRVM OSMANABAD MAHARASHTRA,Lecturer(NEET AND JEE),13-Apr,Till Now,Teaching and faculty Incharge,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,View,IITKPG2\M TECH\EE\5,3/10/2019,Complete,400,N/A,jkl,Male,5/12/1996,India,OBC-NCL,No,,12213@newmail.com,,5,yz3,abcde4,,,def4,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Photonics,RF and Microwave,,,Yes,,,x5,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,81.12,,,,,,,,,,,,Bachelors Degree,Electrical,hdqzc5,Lonere,India,nhfc4,2014,2018,4,Awarded,,Semester,CGPA,7.94,10,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
122,View,IITKPG2\M TECH\EE\6,4/10/2019,Complete,400,N/A,mno,Female,26/02/97,India,GENERAL,No,,45226@newmail.com,,6,yz4,abcde5,,,def5,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,RF and Microwave,Power Engineering,Photonics,,Yes,,,x6,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,96.98,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,electrical and electronics,hdqzc6,delhi,India,nhfc5,2014,2018,4,Awarded,,Semester,Percentage,7747,8900,87.04,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2014,CBSE,science,457,500,91.4,,BE/BTech - Bachelor of Engineering/Technology,2018,guru gobind singh indrapratha university,electrical and electronics,7747,8900,87.04,,,,,,,,,,,4
7,View,IITKPG2\M TECH\EE\7,4/10/2019,Complete,400,N/A,pqr,Female,28/02/96,India,GENERAL,No,,123@newmail.com,,7,yz5,abcde6,,,def6,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,Photonics,RF and Microwave,,Yes,,,x7,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,96.8,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc7,INDORE,India,nhfc6,2014,2018,4,Awarded,,Semester,CGPA,7.76,10,N.A.,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2014,CBSE,PCMB,465,500,93,,Secondary or equivalent,2012,CBSE,SCIENCE,475,500,95,,,,,,,,,,,
8,View,IITKPG2\M TECH\EE\8,4/10/2019,Complete,400,N/A,stu,Male,19/02/92,India,GENERAL,No,,456@newmail.com,,8,yz6,abcde7,,,def7,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,,,,Yes,,,x8,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc8,Adisaptagram,India,nhfc7,2015,2019,4,Awarded,,Semester,CGPA,8.06,10,N.A.,,,,,,,,,,,,,,,,,,,,,,Secondary or equivalent,2013,West Bengal Board of Secondary Education,"Bengali, English, History, Geography, Physical Science, Life Science, Mathematics",600,700,85.71,,Higher Secondary (10+2) or equivalent,2015,West Bengal Council of Higher Secondary Education,"Bengali, English, Physics, Chemistry, Mathematics, Biology",412,500,82.4,,BE/BTech - Bachelor of Engineering/Technology,2019,"West Bengal University of Technology, Kolkata",Electrical Engineering,8.06,10,80,,7,
9,View,IITKPG2\M TECH\EE\9,31/10/19,Complete,400,N/A,vwx,Male,29/12/93,India,GENERAL,No,,123@newmail.com,,9,yz7,abcde8,,478563,def8,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,RF and Microwave,Photonics,,Yes,,,x9,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical Engineering (EE),hdqzc9,MATHURA,India,nhfc8,2014,2018,4,Awarded,,Semester,Percentage,4083,5000,81.66,,,,,,,,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2013,CBSE,"PHYSICS ,CHEMISTRY,MATHEMATICS,ENGLISH,HINDI",366,500,73.2,,BE/BTech - Bachelor of Engineering/Technology,2018,AKTU LUCKNOW,ELECTRICAL ENGINEERING,4083,5000,81.66,,,,,,,,,,,45
10,View,IITKPG2\M TECH\EE\10,16/10/19,Complete,400,N/A,yz,Male,19/02/92,India,OBC-NCL,No,,456@newmail.com,,10,yz8,abcde9,,,def9,Full Time,MASTER OF TECHNOLOGY (M. Tech),EE,Power Engineering,,,,Yes,,,x10,Electrical Engineering (EE),234,123,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,,,BE/BTech - Bachelor of Engineering/Technology,Electrical & Electronics,hdqzc10,Chennai,India,nhfc9,2011,2015,4,Awarded,,Semester,CGPA,8.515,10,N.A.,,"Wipro Limited, Chennai",Project Engineer,15-Aug,16-Aug,Learn the Basics of Banking and Mainframe Technologies and assist the Support team,21635,,,,,,,,,,,,,,,Higher Secondary (10+2) or equivalent,2010,UP Board,Physics Chemistry Math Hindi English,426,500,85.2,,,,,,,,,,,,,,,,,,7,
