S.No.,View,Application Ref. No.,Submission Date,Payment Status,Fee,Payment Date,Name,Gender,DOB,Nationality,Category,PwD?,Marital Status,Email,Alt. Email,Mobile,Father's Name,Mother's Name,Parent Email Id,Aadhaar Number,Permanent Address,Degree Status,Programme,Department,Preference 1,Preference 2,Preference 3,Phd area of research,Institute Assistantship,Finance Method,Finance Details,GATE 2019 Reg ID,GATE 2019 Discipline,GATE 2019 Score,GATE 2019 Rank,GATE 2018 Reg ID,GATE 2018 Discipline,GATE 2018 Score,GATE 2018 Rank,GATE 2017 Reg ID,GATE 2017 Discipline,GATE 2017 Score,GATE 2017 Rank,Other 1 Roll No./ Reg ID,Other 1 Score,Other 1 Max Score,Other 1 Valid Upto,Other 1 Test Name,Other 1 Test Year,Other 1 Discipline,Other 1 Rank,Percentile,Quantitative Aptitude Percentile,Data Integration & Logical Reasoning Percentile,Verbal & Reading Comprehension Percentile,Other 2 Roll No./ Reg ID,Other 2 Score,Other 2 Max Score,Other 2 Valid Upto,Other 2 Test Name,Other 2 Test Year,Other 2 Discipline,Other 2 Rank,Qualifying Degree,Qualifying Discipline,University Name,University City,University Country,Institute Name,Year of Admission,Year of Completion,Duration,Status,Rank,Evaluation Pattern,Evaluation Method,Marks Obtained,Maximum Marks,Percentage,Total Experience,Experience 1 Organization,Experience 1 Designation,Experience 1 From,Experience 1 To,Experience 1 Roles & Responsibility,Experience 1 Total Pay,No. of Papers,No. of Papers in Conference,No. of Papers in Conf Not published,No. of Book Chapters,Referee 1 Name,Referee 1 Organization,Referee 1 Email,Referee 1 Phone,Referee 1 Address,Referee 2 Name,Referee 2 Organization,Referee 2 Email,Referee 2 Phone,Referee 2 Address,PE 1 Degree,PE 1 Year,PE 1 Board / University,PE 1 Subjects,PE 1 Score,PE 1 Max Score,PE 1 Percentage,PE 1 Rank,PE 2 Degree,PE 2 Year,PE 2 Board / University,PE 2 Subjects,PE 2 Score,PE 2 Max Score,PE 2 Percentage,PE 2 Rank,PE 3 Degree,PE 3 Year,PE 3 Board / University,PE 3 Subjects,PE 3 Score,PE 3 Max Score,PE 3 Percentage,PE 3 Rank
1,View,IITKPG2\Ph.D\EE\1,25/10/19,Complete,400,N/A,vbn1,Male,21/11/94,India,GENERAL,No,,e1,ae1,12334567890,iopu1,jhukm1,pe1,,sfghu1,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Power Engineering,"Signal Processing, Communications & Networks",Control and Automation,"POWER ELECTRONICS,ELECTRICAL MACHINES,ELECTRICAL DRIVES,DIGITAL SIGNAL AND IMAGE PROCESSING,DIGITAL COMMUNICATION SYSTEM,ELECTRIC VEHICLE CONTROL",Yes,,,,,,,,,,,,Electrical Engineering (EE),,,,,,,,,,,99.1,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electrical Engineering (EE),klopmn1,KOLKATA,India,hbvyf1,2017,2019,2,Awarded,,Semester,CGPA,8.56,10,N.A.,,,,,,,,,,,0,"Dr. DEBASHIS CHATTERJEE,",JADAVPUR UNIVERSITY,,,"ELECTRICAL ENGINEERING DEPARTMENT,JADAVPUR UNIVERSITY,KOLKATA",Dr.AMITAVA CHATTERJEE,JADAVPUR UNIVERSITY,,,"ELECTRICAL ENGINEERING DEPARTMENT,JADAVPUR UNIVERSITY,KOLKATA",Secondary or equivalent,2010,WEST BENGAL BOARD OF SECONDARY EDUCATION,"ENGLISH,BENGALI,MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY,GEOGRAPHY",602,800,75.25,,Higher Secondary (10+2) or equivalent,2012,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,"ENGLISH,BENGALI,PHYSICS,CHEMISTRY,MATHEMATICS,BIOLOGY",74.4,100,74,,Bachelors Degree,2016,"MAULANA ABUL KALAM AZAD UNIVERSITY OF TECHNOLOGY,WEST BENGAL",ELECTRICAL ENGINEERING,8.32,10,80,
2,View,IITKPG2\Ph.D\EE\2,03/10/19,Complete,400,N/A,vbn2,Male,18/10/93,India,GENERAL,No,,e2,ae2,12334567890,iopu2,jhukm2,,,sfghu2,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Control and Automation,,,FUZZY LOGIC; NEURAL NETWORKS AND THEIR APPLICATIONS,Yes,,,,,,,,,,,,Electrical Engineering (EE),,,,,,,,,,,93.15,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electrical Engineering (EE),klopmn2,RANCHI,India,hbvyf2,2017,2019,2,Awarded,,Semester,CGPA,8.32,10,N.A.,,,,,,,,,,,0,P. R. THAKURA,Birla Institute of Technology (BIT) Mesra,,,"Mesra, Ranchi, Jharkhand",SARBANI CHAKRABORTY,Birla Institute of Technology (BIT) Mesra,,,"Mesra, Ranchi, Jharkhand",BE/BTech - Bachelor of Engineering/Technology,2016,"MAKAUT, WB",ELECTRICAL ENGINEERING,8.19,10,0,,Higher Secondary (10+2) or equivalent,2012,CBSE,"ENGLISH CORE, MATHEMATICS, PHYSICS, CHEMISTRY, COMPUTER SCIENCE",330,600,55,,Secondary or equivalent,2010,CBSE,"ENGLISH COMM., HINDI COURSE-A, MATHEMATICS, SCIENCE, SOCIAL SCIENCE",8.15,10,81.5,
3,View,IITKPG2\Ph.D\EE\3,18/10/19,Complete,200,N/A,vbn3,Male,21/11/95,India,ST,No,,e3,,12334567890,iopu3,jhukm3,,,sfghu3,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,RF and Microwave,Photonics,Control and Automation,"A metamaterial is an artificially structured medium that exhibits electromagnetic properties that can go beyond those found in nature, hence the name meta-materials. A metamaterial��̢���̢��s properties are derived from its structure, rather than the materials it is composed of. As a result, its properties are not necessarily observed in its constituent materials. Metamaterials are made up of a collection of tiny scatterers whose separation is much less than the wavelength of operation, and therefore can be described by the macroscopic electromagnetic parameters: [epsilon] and [mu]. In metamaterials, the role of molecules in conventional dielectrics is played by small metallic or dielectric inclusions dispersed in a host medium.̉��� Due to the emergence of metamaterials in recent years, physical phenomena in both the microwave and optical regimes that were only theorized about a few decades ago are now possible. A few such examples are artificial magnetism and negative refraction.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree,b.tech,klopmn3,trichy,India,hbvyf3,2014,2016,2,Awarded,,Semester,CGPA,7.38,10,N.A.,,,,,,,,,,,0,Mr.B.P.SANTOSH KUMAR,YOGI VEMANA UNIVERSITY,,,,Mr.S.SHAFIULLA BASHA,YOGI VEMANA UNIVERSITY,,,,,,,,,,,,,,,,354,500,70.8,,,,,,7.89,10,71.4,
4,View,IITKPG2\Ph.D\EE\4,03/10/19,Complete,400,N/A,vbn4,Female,18/10/94,India,GENERAL,No,,e4,,12334567890,iopu4,jhukm4,pe2,,sfghu4,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Control and Automation,"Signal Processing, Communications & Networks",Photonics,"Estimation and optimization of a control system, Automation and robotics, Photovoltaic  hybrid system, fault classification and identification,",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electrical Engineering (EE),klopmn4,Sambalpur,India,hbvyf4,2016,2018,2,Awarded,1st,Semester,CGPA,8.33,10,N.A.,,IGIT saranga,Assisant Professor Consolidate,Nov-18,Till Now,"Lecturing,Btech projects,laboratory,registration,training and placement work",25000,5,4,1,0,Bibhuti Bhusan Pati,VSSUT,,,Sambalpur,Basant Kumar Paingrahi,ITER,,,Bhubaneswar,Secondary or equivalent,2011,CBSE,SCIENCE,70.8,100,70,,Higher Secondary (10+2) or equivalent,2009,CBSE,SCIENCE,377,500,75.4,,Bachelors Degree,2015,SOA,EE,3421,4700,72.79,
5,View,IITKPG2\Ph.D\EE\5,03/10/19,Complete,400,N/A,vbn5,Male,21/11/96,India,OBC-NCL,No,,e5,ae7,12334567890,iopu5,jhukm5,pe3,,sfghu5,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Power Engineering,RF and Microwave,Control and Automation,"Power Electronic and Drives, RF Energy Harvesting",Yes,,,,,,,,,,,,Electrical Engineering (EE),,,,,,,,,,,,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electronics and Electrical Engineering,klopmn5,Guwahati,India,hbvyf5,2017,2019,2,Awarded,,Semester,CGPA,7.26,10,N.A.,,,,,,,,,,,0,Dr. Sisir Kumar Nayak,"Department of EEE, IIT Guwahati",,,"Room No. 006, EEE Department, IIT Guwahati",Dr.  Lokanath Tripathy,"Department of EE, CET Bhubaneswar",,,"Department of EE, CET Bhubaneswar",Secondary or equivalent,2009,"BSE, Orissa","FLO, SLE, TLH, MTH, SCP AND SCL, SSG AND SSH",476,600,79.33,,Higher Secondary (10+2) or equivalent,2011,"CHSE, Orissa","English, MIL Oriya, Physics, Chemistry, Maths, Biology",289,500,57.8,,BE/BTech - Bachelor of Engineering/Technology,2016,IGIT Sarang / BPUT Orissa,Electrical Engineering,8.5,10,85,
6,View,IITKPG2\Ph.D\EE\6,03/10/19,Complete,400,N/A,vbn6,Female,18/10/95,India,GENERAL,No,,e6,,12334567890,iopu6,jhukm6,,,sfghu6,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Power Engineering,Control and Automation,,Power electronics and drives,Yes,,,,,,,3423,Electrical Engineering (EE),322,2323,,Electrical Engineering (EE),,,,,,,,,,,91.78,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electrical Engineering (EE),klopmn6,Delhi,India,hbvyf6,2016,2018,2,Awarded,,Semester,CGPA,8,10,N.A.,,TCS,System Engineer,Mar-13,Jul-16,Testing and related work,,1,,,0,Mini Sreejeth,DTU,,,"Electrical Engineering Dept, Bawana Rd, Delhi Technological University, Shahbad Daulatpur Village, Rohini, Delhi",Sushma Santapuri,IIT Delhi,,,"Block IV, Room No. 234, Department of Applied Mechanics, Indian Institute of Technology Delhi, Hauz Khas, New Delhi -",Secondary or equivalent,2006,U P Board,"Hindi, English, Maths, Social Science, Science, Art",384,600,64,,Higher Secondary (10+2) or equivalent,2008,U P Board,PCM,74.4,100,74,,Bachelors Degree,2012,MJPRU,Electrical Engineering,8.32,10,80,
7,View,IITKPG2\Ph.D\EE\7,09/10/19,Complete,400,N/A,vbn7,Male,21/11/95,India,OBC-NCL,No,,e7,ae8,12334567890,iopu7,jhukm7,pe4,,sfghu7,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Power Engineering,Control and Automation,Microelectronics and VLSI,POWER CONVERTERS - AC DC CONVERTERS - THREE PHASE VIENNA RECTIFIER OR SWISS RECTIFIER WITH WIND ENERGY CONVERSION SYSTEMS AND NON LINEAR LOADS (or GRID).,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masters Degree,POWER ELECTRONICS AND DRIVES,klopmn7,"SRIPERUMBUDUR, CHENNAI",India,hbvyf7,2005,2007,2,Awarded,,Semester,Percentage,1714,2200,77.91,,NCR Corporation India Private Limited - CALICUT,Customer  Engineer,Jan-03,Apr-04,ATM MAINTENANCE,13897/.,3,2,1,0,Dr. K B Sudhakar,SRI VENKATESWARA COLLEGE OF ENGINEERING,,,"Professor, EEE Department, Post Bag No.1 Pennalur Village Chennai - Bengaluru High Road Sriperumbudur Taluk, Kanchipuram District.",Dr.E.Nakkeeran,SRI VENKATESWARA COLLEGE OF ENGINEERING,,,"HOD / BIO TECHNOLOGY, Post Bag No.1 Pennalur Village Chennai - Bengaluru High Road Sriperumbudur Taluk, Kanchipuram District.",Secondary or equivalent,1994,GOVERNMENT HIGH SCHOOL / STATE BOARD,"SCIENCE, MATHEMATICS",329,500,65.8,,Higher Secondary (10+2) or equivalent,1999,PALLAVAN POLYTECHNIC COLLEGE / DEPARTMENT OF TECHNICAL EDUCATION,ELECTRICAL AND ELECTRONICS ENGINEERING,377,500,75.4,,Bachelors Degree,2002,UNIVERSITY OF MADRAS / SRI VENKATESWARA COLLEGE OF ENGINEERING,ELECTRICAL AND ELECTRONICS ENGINEERING,8.15,10,81.5,
8,View,IITKPG2\Ph.D\EE\8,30/10/19,Complete,400,N/A,vbn8,Male,18/10/94,India,OBC-NCL,No,,e8,ae3,12334567890,iopu8,jhukm8,,,sfghu8,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Power Engineering,Control and Automation,,Multilevel inverters and its application,Yes,,,1234,Electrical Engineering (EE),123,1234,,,,,,,,,,,,,,,,,87.7,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electrical Engineering (EE),klopmn8,ALIGARH,India,hbvyf8,2016,2018,2,Awarded,,Semester,CGPA,8.667,10,N.A.,,,,,,,,2,1,2,0,ADIL SARWAR,ALIGARH MUSLIM UNIVERSITY,,,"DEPARTMENT OF ELECTRICAL ENGINEERING AMU, ALIGARH",MOHD TARIQ,ALIGARH MUSLIM UNIVERSITY,,,"DEPARTMENT OF ELECTRICAL ENGINEERING AMU, ALIGARH",Secondary or equivalent,2008,CBSE,SCIENCE,416,500,83.2,,Higher Secondary (10+2) or equivalent,2011,AMU,COMPUTER,289,500,57.8,,BE/BTech - Bachelor of Engineering/Technology,2016,AMU,ELECTRICAL ENGINEERING,7.89,10,71.4,
9,View,IITKPG2\Ph.D\EE\9,04/10/19,Incomplete,,N/A,vbn9,Male,21/11/96,India,SC,No,,e9,,12334567890,iopu9,jhukm9,,,sfghu9,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Power Engineering,,,field of renewable energy through power electronic converters to improve the performance of the renewable energy system.,Yes,,,,,,,,,,,,Electrical Engineering (EE),,,,,,,,,,,,,,,,,,,,,,,ME/MTech - Master of Engineering/Technology,Electrical Engineering (EE),klopmn9,JAMSHEDPUR,India,hbvyf9,2017,2019,2,Awarded,,Semester,CGPA,8.2,10,N.A.,,,,,,,,,,,0,SHRI SK GUPTA,NIT Jamshedpur,,,"Department of Electrical & Electronics Engineering, NIT Jamshedpur",Dr. Sanjay Kumar,NIT Jamshedpur,,,"Department of Electrical & Electronics Engineering, NIT Jamshedpur",Secondary or equivalent,2011,JICGG BASTI,GENERAL,435,600,72.5,,Higher Secondary (10+2) or equivalent,2013,AVIC BIHARA BAZAAR BASTI,PCM,74.4,100,74,,Bachelors Degree,2017,SRMCEM LUCKNOW,ELECTRICAL ENGINEERING,3421,4700,72.79,
10,View,IITKPG2\Ph.D\EE\10,26/10/19,Complete,200,N/A,vbn10,Male,18/10/95,India,SC,No,,e10,,12334567890,iopu10,jhukm10,pe5,,sfghu10,Full Time,DOCTOR OF PHILOSOPHY (Ph.D),EE,Microelectronics and VLSI,Control and Automation,"Signal Processing, Communications & Networks",finding possibility of Analog VLSI design in FinFET technology,Yes,,,,,,,,,,,,Electronics and Communication Engineering (EC),,,,,,,,,,,85.9,,,,,,,,,,,,Masters Degree,ECE,klopmn10,pantnagar,India,hbvyf10,2016,2019,3,Awarded,,Semester,CGPA,7.39,7.39,N.A.,,,,,,,,,,,0,Ashwini Kumar Arya,"Kyung Hee University Seoul, South Korea",,,"Kyung Hee University Seoul, South Korea",Sudhanshu Tyagi,Thapar University,,,"Thapar University, Patiala, Punjab, Pin -147004, India",Secondary or equivalent,2007,Uttrakhand State Board,Science,293,500,58.6,,Higher Secondary (10+2) or equivalent,2009,Uttrakhand State Board,PCM,289,500,57.8,,Bachelors Degree,2014,Uttrakhand Technical University,ECE,8.5,10,85,
